char_is_autapomorphic	nstates_per_char	state0	state1	state2
1	0	3	8	11	7
2	0	3	14	11	4
3	0	3	12	10	6
4	0	2	13	9	0
5	0	3	11	9	1
6	0	2	4	7	0
7	0	3	7	9	3
8	0	2	3	15	0
9	0	2	7	8	0
10	0	2	10	7	0
11	0	2	6	9	0
12	0	2	6	9	0
13	0	2	9	8	0
14	0	2	9	8	0
15	0	2	8	7	0
16	0	3	5	4	8
17	0	2	8	6	0
18	0	2	8	7	0
19	0	2	4	2	0
20	0	3	5	13	1
21	0	3	7	10	1
22	0	3	5	10	2
23	0	2	12	10	0
24	0	3	2	5	2
25	0	3	5	8	1
26	0	3	10	7	1
27	0	2	5	9	0
28	0	2	3	12	0
29	0	2	7	6	0
30	0	2	13	3	0
