means	sds	medians	mins	maxs	lower95	upper95
Raymondapsis	12.2680171249558	3.72917746456925	12.6563572785561	2.01196473067598	17.557805326202	3.88929691088377	17.2827803025326
T_lacertus	9.25113577733892	0.771392829323343	9.40691398756407	6.47880538870284	10.5664422498722	7.50144932554169	10.3617455312747
T_viator	9.29410683858918	0.674382296459903	9.32300469039597	7.97048950884991	10.460364721998	8.11111631371828	10.3623470423827
T_utahensis	15.5418857105564	0.930785649048039	15.3773866963373	14.3773041110202	17.5290814528598	14.4226674046944	17.4265686966986
T_marginalis	14.0474313903255	1.75545675346487	14.1031019099464	10.3240934181019	17.5536345219308	10.9475983483501	17.2937158532854
T_conradi	7.98399623799936	0.917087075717192	8.02894559503937	6.4738890679391	9.68939277156787	6.53916620271282	9.65339656669725
T_angusticollis	7.31111855666959	0.329805293421567	7.31594505782873	6.7358055055545	7.82663210951622	6.75542381962224	7.81135190873403
T_depressicapitatus	5.45383109980435	0.895559659402034	5.7852910428851	1.54532980001152	6.38812356690053	3.04914518399221	6.36253970540462
T_latiaxiatus	7.46236137477395	2.32369976713815	7.10150521219532	3.84366525654167	12.1333178113458	4.08497139600035	11.5322937022757
T_fieldi	11.4059457123625	0.371465028513365	11.3191312072784	10.6867020515324	12.1255963056355	10.7537577445257	12.0623100340006
T_conifrons	9.21119764191736	1.06618331890139	9.31547034275285	6.41435896848118	11.8359924937494	7.04785055634306	11.0214813842709
T_raymondi	10.2528113614229	0.817460359087029	10.0869020964796	9.05505593158668	12.0937310249501	9.08608281969084	11.8766055653611
T_mackenziensis	9.04387777598163	0.325043891417741	8.98931700386358	8.55161662632405	9.74476469238703	8.55964254340318	9.70070153700272
T_aduncus	9.17242673281816	0.290201285712361	9.22268208257688	8.62160851794615	9.62878929286865	8.66904228081081	9.61765080984039
T_longispina	9.84445478105258	0.609922577784972	9.68554820840136	9.11391996915943	11.8857515390828	9.12527318230483	11.2122480050104
T_anusacermissima	8.79538964920676	0.582879324820715	8.90258176087677	6.48660852407839	9.62622049294822	7.19548237006509	9.54631610571348
T_laurentiana	8.568358904293	1.02060358920702	8.69313870461499	4.96690219368698	9.99965338715986	6.47573176471971	9.93856917137588
T_jaanussoni	10.1378448458139	1.48964567645776	10.4612672908499	7.06839174262092	12.1495526128593	7.21697526621867	12.0730700073803
T_mobydicki	10.0405423182299	1.25979408638807	10.2161238596066	6.98490914003154	12.0957397335805	7.31703543253687	11.9754473216319
