char_is_autapomorphic	nstates_per_char	state0	state1	state2	state3
1	0	3	3	9	1	0
2	1	2	1	12	0	0
3	0	3	9	1	3	0
4	1	2	2	1	0	0
5	1	2	2	1	0	0
6	1	2	2	1	0	0
7	0	3	1	2	10	0
8	1	2	1	11	0	0
9	1	2	1	12	0	0
10	1	2	1	12	0	0
11	0	2	10	3	0	0
12	0	2	8	5	0	0
13	0	2	6	3	0	0
14	0	2	2	7	0	0
15	0	2	2	8	0	0
16	0	2	2	8	0	0
17	1	3	1	1	8	0
18	0	4	1	6	3	1
19	0	3	1	8	2	0
20	0	2	2	8	0	0
21	0	2	8	2	0	0
22	0	2	9	2	0	0
23	0	2	8	2	0	0
24	0	3	5	4	1	0
25	0	2	9	2	0	0
26	0	2	2	6	0	0
27	1	4	1	1	7	1
28	1	2	10	1	0	0
