char_is_autapomorphic	nstates_per_char	state0	state1	state2	state3
1	0	2	11	4	0	0
2	0	3	6	8	1	0
3	0	2	8	8	0	0
4	0	4	1	10	4	1
5	0	2	6	10	0	0
6	0	2	3	13	0	0
7	0	3	4	5	7	0
8	0	3	2	12	2	0
9	0	3	6	3	5	0
10	0	2	10	6	0	0
11	0	2	9	6	0	0
12	0	4	2	8	2	3
13	0	3	2	10	1	0
14	1	2	1	6	0	0
15	0	3	11	1	3	0
16	0	3	7	4	3	0
17	0	3	2	5	7	0
18	0	3	4	5	6	0
19	0	3	2	8	4	0
