means	sds	medians	mins	maxs	lower95	upper95
P_kristiae	12.5447404530934	0.0122172724108708	12.545481670153	12.502287630763	12.5894396565299	12.520650135541	12.5677631403354
P_pandus	13.9801825323987	0.0142922587986293	13.9804100733609	13.9277344961242	14.0277222180867	13.9529552985763	14.0090476269428
P_robbinsi	12.0502375706265	0.01187805126156	12.0501267507099	12.0142820015961	12.0916391529383	12.0267278913045	12.0738633020601
A_lineatus	7.75527393564974	0.00780391769322285	7.75522119165443	7.73270733081118	7.77732591456043	7.73970409270185	7.77149365374033
A_subpunctatus	12.1854913555364	0.0120218136250818	12.185658487898	12.1435490649916	12.2212732264896	12.162565629952	12.2104338667176
A_aspratilis	10.220311092957	0.0101718171427848	10.2199853895874	10.1909997284022	10.2503915094676	10.2005599903807	10.2412556606912
A_conradi	12.6402049659375	0.012969566056113	12.6407003158565	12.5965301878717	12.6776245502029	12.6142855220092	12.6640983783119
A_cucullus	9.37999719054789	0.00931277130435873	9.38016628115019	9.35291779957166	9.41106013762619	9.3617273042805	9.39778104448435
A_jukesi	20.0242529730707	0.0197002070182076	20.0240504035522	19.9698193716015	20.0913884393855	19.985923145877	20.0646323295678
L_bronnikovi	20.4749048816908	0.0201681693014935	20.4749538456138	20.4003903480808	20.5429662953024	20.4367992840715	20.5120231407424
A_encyrtos	14.8002518149801	0.0155206606811778	14.7998679933004	14.7536600796303	14.8706172638465	14.7709906971911	14.8308623247615
A_effnensis	13.395217761828	0.0134283508312064	13.3950149037074	13.3553971636343	13.4402204066178	13.3686157469189	13.4217444686949
